Date,SP500,FTSE100,HSI,Nikkei225
2023-05-02,7773.0,4119.580078125,19933.810546875,29157.94921875
2023-05-03,7788.39990234375,4090.75,19699.16015625,29157.94921875
2023-05-04,7702.60009765625,4061.219970703125,19948.73046875,29157.94921875
2023-05-05,7778.39990234375,4136.25,20049.310546875,29157.94921875
2023-05-08,7778.39990234375,4138.1201171875,20297.029296875,28949.880859375
2023-05-09,7764.10009765625,4119.169921875,19867.580078125,29242.8203125
2023-05-10,7741.2998046875,4137.64013671875,19762.19921875,29122.1796875
2023-05-11,7730.60009765625,4130.6201171875,19743.7890625,29126.720703125
2023-05-12,7754.60009765625,4124.080078125,19627.240234375,29388.30078125
2023-05-15,7777.7001953125,4136.27978515625,19971.130859375,29626.33984375
2023-05-16,7751.10009765625,4109.89990234375,19978.25,29842.990234375
2023-05-17,7723.2001953125,4158.77001953125,19560.5703125,30093.58984375
2023-05-18,7742.2998046875,4198.0498046875,19727.25,30573.9296875
2023-05-19,7756.89990234375,4191.97998046875,19450.5703125,30808.349609375
2023-05-22,7771.0,4192.6298828125,19678.169921875,31086.8203125
2023-05-23,7763.0,4145.580078125,19431.25,30957.76953125
2023-05-24,7627.10009765625,4115.240234375,19115.9296875,30682.6796875
2023-05-25,7570.89990234375,4151.27978515625,18746.919921875,30801.130859375
2023-05-26,7627.2001953125,4205.4501953125,18746.919921875,30916.310546875
2023-05-29,7627.2001953125,4205.4501953125,18551.109375,31233.5390625
2023-05-30,7522.10009765625,4205.52001953125,18595.779296875,31328.16015625
2023-05-31,7446.10009765625,4179.830078125,18234.26953125,30887.880859375
2023-06-01,7490.2998046875,4221.02001953125,18216.91015625,31148.009765625
